City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
101,Lata,PT,63.05,overcast clouds,40.1629,-8.3327,Coimbra
107,Baraboo,US,63.81,overcast clouds,43.4711,-89.7443,Baraboo
108,Bethel,US,59.99,overcast clouds,41.3712,-73.414,Danbury
112,Blagoveshchensk,RU,56.01,few clouds,50.2667,127.5333,Heihe
113,Glenwood Springs,US,53.4,clear sky,39.5505,-107.3248,Glenwood Springs
114,Zhanaozen,KZ,55.33,overcast clouds,43.3,52.8,Zhanaozen
118,Los Llanos De Aridane,ES,67.75,overcast clouds,28.6585,-17.9182,Los Llanos
119,Simoes,BR,73.99,broken clouds,-7.5989,-40.8178,Simões
125,Obera,AR,46.69,clear sky,-27.4871,-55.1199,Oberá
128,Dillon,US,71.94,overcast clouds,34.4166,-79.3712,Dillon
129,Tembisa,ZA,58.42,few clouds,-25.9964,28.2268,Midrand
131,Arraial Do Cabo,BR,70.47,overcast clouds,-22.9661,-42.0278,Arraial do Cabo
133,Komsomolskiy,UZ,61.52,overcast clouds,40.4272,71.7189,Fergana
136,Plavsk,RU,45.18,overcast clouds,53.7094,37.2919,Plavsk
138,Lebu,CL,48.51,overcast clouds,-37.6167,-73.65,Lebu
140,Waycross,US,72.32,clear sky,31.2136,-82.354,Waycross
141,Faya,SA,69.91,scattered clouds,18.3851,42.4509,Faya
147,San Felipe,VE,72.81,broken clouds,10.3399,-68.7425,San Felipe
148,Presidencia Roque Saenz Pena,AR,53.58,clear sky,-26.7852,-60.4388,Presidencia Roque Sáenz Peña
150,Fortuna,US,53.42,overcast clouds,40.5982,-124.1573,Fortuna
151,Saint George,US,72.95,clear sky,37.1041,-113.5841,St. George
153,Pamplona,ES,58.96,broken clouds,42.8169,-1.6432,Pamplona
154,San Quintin,MX,69.3,broken clouds,30.4833,-115.95,Lázaro Cárdenas
156,Tyup,KG,49.32,overcast clouds,42.7276,78.3648,Tyup
157,Coquimbo,CL,51.53,clear sky,-29.9533,-71.3436,Coquimbo
